Nome_Excel,Nome_JSON,ProductID
Rato Logitech MX Master,Logitech MX Master 3 Mouse,P001
Logitech Rato MX Anywhere,Logitech MX Anywhere 3 Mouse,P002
Teclado Mecânico Corsair K70,Corsair K70 RGB MK.2 Keyboard,P003
Teclado Gaming Razer BlackWidow,Razer BlackWidow V3 Keyboard,P004
"Monitor Dell 24""","Dell S2421HGF 24"" Monitor",P005
Monitor 27 Polegadas HP,"HP 27f 27"" Monitor",P006
Headset Gamer HyperX Cloud,HyperX Cloud II Headset,P007
Headset Gaming SteelSeries Arctis,SteelSeries Arctis 7 Headset,P008
Smartphone Samsung Galaxy S10,Samsung Galaxy S10 Smartphone,P009
Smartphone Apple iPhone 11,Apple iPhone 11 Smartphone,P010
Rato Razer DeathAdder,Razer DeathAdder V2 Mouse,P011
Teclado Logitech G Pro,Logitech G Pro X Keyboard,P012
"Monitor 24"" Acer","Acer Nitro VG240Y 24"" Monitor",P013
Headset Logitech G432,Logitech G432 Gaming Headset,P014
Smartphone Xiaomi Redmi Note 9,Xiaomi Redmi Note 9 Smartphone,P015
Rato Corsair Dark Core,Corsair Dark Core RGB Mouse,P016
Teclado Mecânico Ducky One 2,Ducky One 2 Mini Keyboard,P017
"Monitor 32"" LG","LG 32UN500 32"" Monitor",P018
Headset Razer Kraken,Razer Kraken X Headset,P019
Smartphone Huawei P30,Huawei P30 Smartphone,P020
Rato SteelSeries Rival 3,SteelSeries Rival 3 Mouse,P021
Teclado Gaming Keychron K8,Keychron K8 Wireless Keyboard,P022
"Monitor 27"" ASUS","ASUS TUF Gaming VG27AQ 27"" Monitor",P023
Headset Corsair Void Pro,Corsair Void Elite RGB Headset,P024
Smartphone Google Pixel 4,Google Pixel 4 Smartphone,P025
Rato HyperX Pulsefire,HyperX Pulsefire FPS Pro Mouse,P026
Teclado Logitech MX Keys,Logitech MX Keys Advanced Keyboard,P027
"Monitor Dell UltraSharp 27""","Dell UltraSharp U2720Q 27"" Monitor",P028
Headset Sennheiser HD 450BT,Sennheiser HD 450BT Headphones,P029
Smartphone Samsung Galaxy A51,Samsung Galaxy A51 Smartphone,P030
Rato Logitech G502,Logitech G502 Hero Mouse,P031
Teclado Razer Huntsman,Razer Huntsman Elite Keyboard,P032
Monitor 24 Polegadas Samsung,"Samsung S24F350 24"" Monitor",P033
